director_name,actor_2_name,genres,actor_1_name,movie_title,actor_3_name,language
christopher nolan,heath ledger,action|crime|drama|thriller,christian bale,the dark knight,morgan freeman,english
pete docter,delroy lindo,adventure|animation|comedy|family,john ratzenberger,up,jess harnell,english
rob letterman,rainn wilson,action|adventure|animation|comedy|family|sci-fi,amy poehler,monsters vs. aliens,stephen colbert,english
jon favreau,jeff bridges,action|adventure|sci-fi,robert downey jr.,iron man,jon favreau,english
martin scorsese,christopher lee,adventure|drama|family|mystery,chloë grace moretz,hugo,ray winstone,english
barry sonnenfeld,salma hayek,action|comedy|sci-fi|western,will smith,wild wild west,bai ling,english
rob cohen,brendan fraser,action|adventure|fantasy|horror|thriller,jet li,the mummy: tomb of the dragon emperor,russell wong,english
david ayer,robin atkin downes,action|adventure|comedy|sci-fi,will smith,suicide squad,ike barinholtz,english
tom shadyac,morgan freeman,comedy|family|fantasy,jimmy bennett,evan almighty,steve carell,english
doug liman,lara pulver,action|adventure|sci-fi,tom cruise,edge of tomorrow,noah taylor,english
kevin reynolds,rick aviles,action|adventure|sci-fi|thriller,jeanne tripplehorn,waterworld,zakes mokae,english
stephen sommers,dennis quaid,action|adventure|sci-fi|thriller,joseph gordon-levitt,g.i. joe: the rise of cobra,leo howard,english
pete docter,mindy kaling,adventure|animation|comedy|drama|family|fantasy,amy poehler,inside out,phyllis smith,english
jon favreau,bill murray,adventure|drama|family|fantasy,scarlett johansson,the jungle book,garry shandling,english
jon favreau,scarlett johansson,action|adventure|sci-fi,robert downey jr.,iron man 2,jon favreau,english
rupert sanders,kristen stewart,action|adventure|drama|fantasy,chris hemsworth,snow white and the huntsman,sam claflin,english
robert stromberg,sharlto copley,action|adventure|family|fantasy|romance,angelina jolie pitt,maleficent,sam riley,english
matt reeves,judy greer,action|adventure|drama|sci-fi,gary oldman,dawn of the planet of the apes,kodi smit-mcphee,english
roland joffé,alice englert,action|adventure|romance|sci-fi,tamsin egerton,the lovers,bipasha basu,english
carl rinsch,cary-hiroyuki tagawa,action|adventure|drama|fantasy,keanu reeves,47 ronin,jin akanishi,english
anthony russo,chris evans,action|adventure|sci-fi,scarlett johansson,captain america: the winter soldier,hayley atwell,english
mike mitchell,kathy griffin,adventure|animation|comedy|family|fantasy,jon hamm,shrek forever after,mary kay place,english
brad bird,chris bauer,action|adventure|family|mystery|sci-fi,judy greer,tomorrowland,thomas robinson,english
don hall,daniel henney,action|adventure|animation|comedy|drama|family|sci-fi,damon wayans jr.,big hero 6,abraham benrubi,english
rich moore,sarah silverman,adventure|animation|comedy|family|sci-fi,jack mcbrayer,wreck-it ralph,joe lo truglio,english
robert zemeckis,eddie deezen,adventure|animation|family|fantasy,tom hanks,the polar express,peter scolari,english
roland emmerich,sela ward,action|adventure|sci-fi,vivica a. fox,independence day: resurgence,judd hirsch,english
dean deblois,america ferrera,adventure|animation|family|fantasy,gerard butler,how to train your dragon,craig ferguson,english
jonathan mostow,m.c. gainey,action|sci-fi,nick stahl,terminator 3: rise of the machines,carolyn hennesy,english
james gunn,vin diesel,action|adventure|sci-fi,bradley cooper,guardians of the galaxy,djimon hounsou,english
christopher nolan,anne hathaway,adventure|drama|sci-fi,matthew mcconaughey,interstellar,mackenzie foy,english
christopher nolan,tom hardy,action|adventure|sci-fi|thriller,leonardo dicaprio,inception,joseph gordon-levitt,english
hideaki anno,shin'ya tsukamoto,action|adventure|drama|horror|sci-fi,mark chinnery,godzilla resurgence,atsuko maeda,japanese
peter jackson,adam brown,adventure|fantasy,aidan turner,the hobbit: an unexpected journey,james nesbitt,english
rob cohen,vin diesel,action|crime|thriller,paul walker,the fast and the furious,jordana brewster,english
david fincher,jason flemyng,drama|fantasy|romance,brad pitt,the curious case of benjamin button,julia ormond,english
matthew vaughn,michael fassbender,action|adventure|sci-fi,jennifer lawrence,x-men: first class,oliver platt,english
francis lawrence,philip seymour hoffman,adventure|sci-fi,jennifer lawrence,the hunger games: mockingjay - part 2,josh hutcherson,english
jon turteltaub,omar benson miller,action|adventure|family|fantasy,nicolas cage,the sorcerer's apprentice,robert capron,english
wolfgang petersen,mike vogel,action|adventure|drama|thriller,jimmy bennett,poseidon,andre braugher,english
james bobin,alan rickman,adventure|family|fantasy,johnny depp,alice through the looking glass,anne hathaway,english
chris miller,eric idle,adventure|animation|comedy|family|fantasy,justin timberlake,shrek the third,rupert everett,english
duncan jones,callum rennie,action|adventure|fantasy,dominic cooper,warcraft,ruth negga,english
alan taylor,emilia clarke,action|adventure|sci-fi,j.k. simmons,terminator genisys,matt smith,english
michael apted,shane rangi,adventure|family|fantasy,bruce spence,the chronicles of narnia: the voyage of the dawn treader,laura brent,english
michael bay,jaime king,action|drama|history|romance|war,jennifer garner,pearl harbor,mako,english
michael bay,michael o'neill,action|adventure|sci-fi,zack ward,transformers,kevin dunn,english
oliver stone,angelina jolie pitt,action|adventure|biography|drama|history|romance|war,anthony hopkins,alexander,brian blessed,english
david yates,daniel radcliffe,adventure|family|fantasy|mystery,robert pattinson,harry potter and the order of the phoenix,fiona shaw,english
mike newell,daniel radcliffe,adventure|family|fantasy|mystery,robert pattinson,harry potter and the goblet of fire,rupert grint,english
peter berg,charlize theron,action|drama,will smith,hancock,eddie marsan,english
francis lawrence,alice braga,drama|horror|sci-fi,will smith,i am legend,willow smith,english
tim burton,christopher lee,adventure|comedy|family|fantasy,johnny depp,charlie and the chocolate factory,david kelly,english
brad bird,john ratzenberger,animation|comedy|family|fantasy,janeane garofalo,ratatouille,brian dennehy,english
christopher nolan,liam neeson,action|adventure,christian bale,batman begins,morgan freeman,english
eric darnell,jada pinkett smith,action|adventure|animation|comedy|family,bernie mac,madagascar: escape 2 africa,cedric the entertainer,english
shawn levy,rami malek,adventure|comedy|family|fantasy,robin williams,night at the museum: battle of the smithsonian,steve coogan,english
gavin hood,ryan reynolds,action|adventure|fantasy|sci-fi|thriller,hugh jackman,x-men origins: wolverine,dominic monaghan,english
lana wachowski,collin chou,action|sci-fi,essie davis,the matrix revolutions,nona gaye,english
chris buck,maurice lamarche,adventure|animation|comedy|family|fantasy|musical,josh gad,frozen,livvy stubenrauch,english
lana wachowski,daniel bernhardt,action|sci-fi,steve bastoni,the matrix reloaded,helmut bakaitis,english
alan taylor,natalie portman,action|adventure|fantasy,chris hemsworth,thor: the dark world,anthony hopkins,english
george miller,charlize theron,action|adventure|sci-fi|thriller,tom hardy,mad max: fury road,zoë kravitz,english
ron howard,ayelet zurer,mystery|thriller,tom hanks,angels & demons,armin mueller-stahl,english
kenneth branagh,natalie portman,action|adventure|fantasy,chris hemsworth,thor,anthony hopkins,english
byron howard,diedrich bader,adventure|animation|comedy|drama|family,chloë grace moretz,bolt,james lipton,english
hoyt yeatman,piper mackenzie harris,action|adventure|animation|comedy|family|fantasy|sci-fi,kelli garner,g-force,niecy nash,english
jonathan liebesman,edgar ramírez,action|adventure|fantasy,liam neeson,wrath of the titans,lily james,english
tim burton,chloë grace moretz,comedy|fantasy|horror,johnny depp,dark shadows,christopher lee,english
christopher mcquarrie,jeremy renner,action|adventure|thriller,tom cruise,mission: impossible - rogue nation,sean harris,english
joe johnston,simon merrells,drama|fantasy|horror|thriller,anthony hopkins,the wolfman,art malik,english
david yates,alexander skarsgård,action|adventure|drama|romance,christoph waltz,the legend of tarzan,casper crump,english
steve hickner,oprah winfrey,adventure|animation|comedy|family,matthew broderick,bee movie,rip torn,english
jennifer yuh nelson,gary oldman,action|adventure|animation|comedy|family,angelina jolie pitt,kung fu panda 2,mike bell,english
m. night shyamalan,noah ringer,action|adventure|family|fantasy,seychelle gabriel,the last airbender,aasif mandvi,english
j.j. abrams,tom cruise,action|adventure|thriller,philip seymour hoffman,mission: impossible iii,eddie marsan,english
roland emmerich,jake weber,action|drama|thriller,channing tatum,white house down,matt craven,english
simon wells,dan fogler,action|adventure|animation|comedy|family|sci-fi,elisabeth harnois,mars needs moms,tom everett scott,english
david bowers,kate winslet,adventure|animation|comedy|family,hugh jackman,flushed away,david suchet,english
joe wright,cara delevingne,adventure|family|fantasy,hugh jackman,pan,nonso anozie,english
rob minkoff,zach callison,adventure|animation|comedy|family|sci-fi,ty burrell,mr. peabody & sherman,karan brar,english
wolfgang petersen,orlando bloom,adventure,brad pitt,troy,julian glover,english
eric darnell,martin short,adventure|animation|comedy|family,jada pinkett smith,madagascar 3: europe's most wanted,cedric the entertainer,english
lee tamahori,colin salmon,action|adventure|thriller,toby stephens,die another day,rick yune,english
paul feig,kate mckinnon,action|comedy|fantasy|sci-fi,ed begley jr.,ghostbusters,zach woods,english
michael bay,steve buscemi,action|adventure|sci-fi|thriller,bruce willis,armageddon,will patton,english
barry sonnenfeld,rosario dawson,action|adventure|comedy|family|fantasy|mystery|sci-fi,will smith,men in black ii,rip torn,english
robert zemeckis,anthony hopkins,action|adventure|animation|fantasy,robin wright,beowulf,sebastian roché,english
alessandro carloni,angelina jolie pitt,action|adventure|animation|comedy|family,j.k. simmons,kung fu panda 3,wayne knight,english
brad bird,jeremy renner,action|adventure|thriller,tom cruise,mission: impossible - ghost protocol,michael nyqvist,english
peter ramsey,kamil mcfadden,adventure|animation|family|fantasy,hugh jackman,rise of the guardians,khamani griffin,english
dean parisot,richard burgi,comedy|crime,john michael higgins,fun with dick and jane,david herman,english
edward zwick,tony goldwyn,action|drama|history|war,tom cruise,the last samurai,chad lindberg,english
ridley scott,maría valverde,action|adventure|drama,christian bale,exodus: gods and kings,ben mendelsohn,english
j.j. abrams,leonard nimoy,action|adventure|sci-fi,chris hemsworth,star trek,bruce greenwood,english
sam raimi,james franco,action|adventure|fantasy|romance,j.k. simmons,spider-man,kirsten dunst,english
dean deblois,djimon hounsou,action|adventure|animation|comedy|family|fantasy,gerard butler,how to train your dragon 2,america ferrera,english
alex proyas,elodie yung,action|adventure|fantasy,gerard butler,gods of egypt,bryan brown,english
rob cohen,joe morton,action|adventure|sci-fi|thriller,sam shepard,stealth,richard roxburgh,english
zack snyder,billy crudup,action|drama|mystery|sci-fi,matt frewer,watchmen,stephen mchattie,english
richard donner,rene russo,action|crime|thriller,jet li,lethal weapon 4,darlene love,english
ang lee,regi davis,action|sci-fi,kevin rankin,hulk,celia weston,english
jon m. chu,dwayne johnson,action|adventure|sci-fi|thriller,channing tatum,g.i. joe: retaliation,elodie yung,english
breck eisner,rainn wilson,action|adventure|comedy|thriller,matthew mcconaughey,sahara,delroy lindo,english
hironobu sakaguchi,ming-na wen,action|adventure|animation|fantasy|romance|sci-fi,steve buscemi,final fantasy: the spirits within,jean simmons,english
joe johnston,dominic cooper,action|adventure|sci-fi,chris evans,captain america: the first avenger,hayley atwell,english
michael apted,maria grazia cucinotta,action|adventure|thriller,colin salmon,the world is not enough,desmond llewelyn,english
peter weir,lee ingleby,action|adventure|drama|history|war,james d'arcy,master and commander: the far side of the world,david threlfall,english
bill condon,kristen stewart,adventure|drama|fantasy|romance,robert pattinson,the twilight saga: breaking dawn - part 2,taylor lautner,english
george miller,brad pitt,animation|comedy|family|musical,robin williams,happy feet 2,common,english
louis leterrier,peter mensah,action|adventure|sci-fi,ty burrell,the incredible hulk,william hurt,english
,philip michael thomas,action|crime|drama|mystery|thriller,don johnson,miami vice,john diehl,english
steven spielberg,penelope wilton,adventure|family|fantasy,mark rylance,the bfg,rafe spall,english
alejandro g. iñárritu,tom hardy,adventure|drama|thriller|western,leonardo dicaprio,the revenant,lukas haas,english
david soren,snoop dogg,adventure|animation|comedy|family|sport,ryan reynolds,turbo,ben schwartz,english
gore verbinski,ray winstone,adventure|animation|comedy|family|western,johnny depp,rango,stephen root,english
eric darnell,annet mahendru,adventure|animation|comedy|family,benedict cumberbatch,penguins of madagascar,andy richter,english
paul greengrass,edgar ramírez,action|mystery|thriller,matt damon,the bourne ultimatum,albert finney,english
mark osborne,wayne knight,action|adventure|animation|comedy|family,angelina jolie pitt,kung fu panda,dan fogler,english
peyton reed,hayley atwell,action|adventure|comedy|sci-fi,judy greer,ant-man,t.i.,english
francis lawrence,josh hutcherson,adventure|sci-fi|thriller,jennifer lawrence,the hunger games: catching fire,sandra ellis lafferty,english
bill condon,kristen stewart,adventure|drama|fantasy|romance,robert pattinson,the twilight saga: breaking dawn - part 2,taylor lautner,english
tim johnson,matt jones,adventure|animation|comedy|family|fantasy|sci-fi,jim parsons,home,april winchell,english
steven spielberg,lisa ann walter,adventure|sci-fi|thriller,tom cruise,war of the worlds,rick gonzalez,english
michael bay,henry rollins,action|comedy|crime|thriller,will smith,bad boys ii,jordi mollà,english
chris miller,constance marie,action|adventure|animation|comedy|family|fantasy,salma hayek,puss in boots,amy sedaris,english
phillip noyce,andre braugher,action|crime|mystery|thriller,angelina jolie pitt,salt,august diehl,english
darren aronofsky,emma watson,action|adventure|drama,anthony hopkins,noah,logan lerman,english
steven spielberg,mackenzie crook,action|adventure|family|mystery,toby jones,the adventures of tintin,tony curran,english
alfonso cuarón,gary oldman,adventure|family|fantasy|mystery,daniel radcliffe,harry potter and the prisoner of azkaban,rupert grint,english
baz luhrmann,bryan brown,adventure|drama|romance|war,essie davis,australia,eddie baroo,english
m. night shyamalan,zoë kravitz,action|adventure|sci-fi,will smith,after earth,glenn morshower,english
eric leighton,d.b. sweeney,adventure|animation|family|thriller,alfre woodard,dinosaur,della reese,english
matt birch,dave legeno,action|fantasy,rupert grint,harry potter and the deathly hallows: part ii,ralph ineson,english
shawn levy,rami malek,adventure|comedy|family|fantasy,robin williams,night at the museum: secret of the tomb,steve coogan,english
tom mcgrath,brad pitt,action|animation|comedy|family|sci-fi,j.k. simmons,megamind,will ferrell,english
chris columbus,fiona shaw,adventure|family|fantasy,daniel radcliffe,harry potter and the sorcerer's stone,verne troyer,english
robert schwentke,jeff bridges,action|comedy|fantasy,ryan reynolds,r.i.p.d.,stephanie szostak,english
hideaki anno,shin'ya tsukamoto,action|adventure|drama|horror|sci-fi,mark chinnery,godzilla resurgence,atsuko maeda,japanese
gore verbinski,orlando bloom,action|adventure|fantasy,johnny depp,pirates of the caribbean: the curse of the black pearl,jack davenport,english
matt birch,toby jones,fantasy,rupert grint,harry potter and the deathly hallows: part i,alfred enoch,english
francis lawrence,philip seymour hoffman,adventure|sci-fi|thriller,jennifer lawrence,the hunger games: mockingjay - part 1,josh hutcherson,english
ron howard,seth gabel,mystery|thriller,tom hanks,the da vinci code,jürgen prochnow,english
carlos saldanha,rachel crow,adventure|animation|comedy|family|musical,miguel ferrer,rio 2,jeffrey garcia,english
bryan singer,bruce davison,action|adventure|fantasy|sci-fi|thriller,hugh jackman,x-men 2,aaron stanford,english
justin lin,vin diesel,action|crime|thriller,paul walker,fast five,dwayne johnson,english
guy ritchie,eddie marsan,action|adventure|crime|mystery|thriller,robert downey jr.,sherlock holmes: a game of shadows,paul anderson,english
louis leterrier,jason flemyng,action|adventure|fantasy,liam neeson,clash of the titans,alexa davalos,english
paul verhoeven,rachel ticotin,action|sci-fi,ronny cox,total recall,marshall bell,english
john mctiernan,vladimir kulich,action|adventure|history,tony curran,the 13th warrior,clive russell,english
tony gilroy,scott glenn,action|adventure|thriller,jeremy renner,the bourne legacy,stacy keach,english
joel schumacher,vivica a. fox,action,michael gough,batman & robin,john glover,english
ron howard,t.j. thyne,comedy|family|fantasy,clint howard,how the grinch stole christmas,molly shannon,english
roland emmerich,dennis quaid,action|adventure|sci-fi|thriller,jake gyllenhaal,the day after tomorrow,sela ward,english
john woo,dougray scott,action|adventure|thriller,tom cruise,mission: impossible ii,richard roxburgh,english
wolfgang petersen,mary elizabeth mastrantonio,action|adventure|drama|thriller,karen allen,the perfect storm,bob gunton,english
tim story,ioan gruffudd,action|adventure|sci-fi|thriller,chris evans,fantastic 4: rise of the silver surfer,andre braugher,english
ang lee,rafe spall,adventure|drama|fantasy,suraj sharma,life of pi,tabu,english
mark steven johnson,matt long,action|fantasy|thriller,nicolas cage,ghost rider,peter fonda,english
paul greengrass,riz ahmed,action|thriller,matt damon,jason bourne,ato essandoh,english
mcg,bernie mac,action|adventure|comedy|crime,demi moore,charlie's angels: full throttle,justin theroux,english
ridley scott,charlize theron,adventure|mystery|sci-fi,michael fassbender,prometheus,sean harris,english
rob minkoff,brad garrett,adventure|animation|comedy|family|fantasy,nathan lane,stuart little 2,melanie griffith,english
neill blomkamp,sharlto copley,action|drama|sci-fi|thriller,matt damon,elysium,alice braga,english
david twohy,alexa davalos,action|adventure|sci-fi|thriller,vin diesel,the chronicles of riddick,christina cox,english
josé padilha,abbie cornish,action|crime|sci-fi|thriller,gary oldman,robocop,jennifer ehle,english
lana wachowski,kick gurry,action|family|sport,scott porter,speed racer,nicholas elia,english
james l. brooks,domenick lombardozzi,comedy|drama|romance,shelley conn,how do you know,teyonah parris,english
james mangold,marc blucas,action|comedy|romance,tom cruise,knight and day,jordi mollà,english
joseph kosinski,tom cruise,action|adventure|mystery|sci-fi,morgan freeman,oblivion,zoë bell,english
george lucas,christopher lee,action|adventure|fantasy|sci-fi,natalie portman,star wars: episode iii - revenge of the sith,hayden christensen,english
george lucas,christopher lee,action|adventure|fantasy|sci-fi,natalie portman,star wars: episode ii - attack of the clones,hayden christensen,english
pete docter,john ratzenberger,adventure|animation|comedy|family|fantasy,steve buscemi,"monsters, inc.",james coburn,english
james mangold,tao okamoto,action|adventure|sci-fi|thriller,hugh jackman,the wolverine,rila fukushima,english
george lucas,liam neeson,action|adventure|fantasy|sci-fi,natalie portman,star wars: episode i - the phantom menace,ian mcdiarmid,english
kirk de micco,emma stone,adventure|animation|comedy|family|fantasy,ryan reynolds,the croods,nicolas cage,english
frédéric forestier,santiago segura,adventure|comedy|family|fantasy,alain delon,asterix at the olympic games,vanessa hessler,french
john woo,roger willie,action|drama|war,nicolas cage,windtalkers,noah emmerich,english
cedric nicolas-troyan,sam claflin,action|adventure|drama|fantasy,chris hemsworth,the huntsman: winter's war,charlize theron,english
jonathan liebesman,danny woodburn,action|adventure|comedy|sci-fi,noel fisher,teenage mutant ninja turtles,jeremy howard,english
alfonso cuarón,basher savage,adventure|drama|sci-fi|thriller,phaldut sharma,gravity,amy warren,english
roger donaldson,grant heslov,action|adventure|thriller,jamie renée smith,dante's peak,tzi ma,english
dave green,noel fisher,action|adventure|comedy|sci-fi,stephen amell,teenage mutant ninja turtles: out of the shadows,brad garrett,english
josh trank,reg e. cathey,action|adventure|sci-fi,tim blake nelson,fantastic four,tim heidecker,english
shawn levy,rami malek,action|adventure|comedy|family|fantasy,robin williams,night at the museum,steve coogan,english
brad peyton,ioan gruffudd,action|adventure|drama|thriller,dwayne johnson,san andreas,archie panjabi,english
roger spottiswoode,colin salmon,action|adventure|thriller,vincent schiavelli,tomorrow never dies,joe don baker,english
roland emmerich,adam baldwin,action|drama|history|war,heath ledger,the patriot,tom wilkinson,english
steven soderbergh,julia roberts,crime|thriller,brad pitt,ocean's twelve,mini anden,english
doug liman,angelina jolie pitt,action|comedy|crime|romance|thriller,brad pitt,mr. & mrs. smith,stephanie march,english
robert schwentke,theo james,adventure|sci-fi|thriller,kate winslet,insurgent,mekhi phifer,english
martin scorsese,adam scott,biography|drama,leonardo dicaprio,the aviator,frances conroy,english
rob letterman,catherine tate,adventure|comedy|family|fantasy,james corden,gulliver's travels,olly alexander,english
michel gondry,tom wilkinson,action|comedy|crime|sci-fi|thriller,christoph waltz,the green hornet,chad l. coleman,english
,dirk benedict,action|adventure|crime,george peppard,the a-team,dwight schultz,english
noam murro,sullivan stapleton,action|drama|fantasy|war,eva green,300: rise of an empire,peter mensah,english
raja gosnell,tim gunn,adventure|animation|comedy|family|fantasy,mahadeo shivraj,the smurfs,madison mckinley,english
will finn,roseanne barr,animation|comedy|family|music|western,steve buscemi,home on the range,g.w. bailey,english
robert schwentke,theo james,action|adventure|mystery|sci-fi|thriller,naomi watts,allegiant,zoë kravitz,english
shawn levy,torey michael adkins,action|drama|sci-fi|sport,hugh jackman,real steel,olga fonda,english
raja gosnell,nancy o'dell,adventure|animation|comedy|family|fantasy,jacob tremblay,the smurfs 2,vanessa matsui,english
jan de bont,temuera morrison,action|crime|romance|thriller,jason patric,speed 2: cruise control,lois chiles,english
gavin hood,moises arias,action|sci-fi,harrison ford,ender's game,aramis knight,english
len wiseman,jonathan sadowski,action|adventure|thriller,bruce willis,live free or die hard,cyril raffaelli,english
peter jackson,orlando bloom,action|adventure|drama|fantasy,christopher lee,the lord of the rings: the fellowship of the ring,billy boyd,english
frank coraci,steve coogan,action|adventure|comedy,jim broadbent,around the world in 80 days,cécile de france,english
michael mann,jada pinkett smith,biography|drama|sport,will smith,ali,joe morton,english
bo welch,kelly preston,adventure|comedy|family|fantasy,sean hayes,the cat in the hat,spencer breslin,english
alex proyas,bruce greenwood,action|mystery|sci-fi|thriller,will smith,"i, robot",chi mcbride,english
ridley scott,orlando bloom,action|adventure|drama|history|war,liam neeson,kingdom of heaven,philip glenister,english
rob minkoff,nathan lane,adventure|comedy|family|fantasy,chazz palminteri,stuart little,jeffrey jones,english
ron clements,jenifer lewis,animation|family|fantasy|musical|romance,oprah winfrey,the princess and the frog,anika noni rose,english
ridley scott,donald glover,adventure|drama|sci-fi,matt damon,the martian,benedict wong,english
christopher barnard,,comedy,mathew buck,"10,000 b.c.",,english
